lambda,policy,mean_TTFT,p95_TTFT,mean_Latency,p95_Latency,mean_avg_TBT,Throughput,num_completed
0.5,P2C,0.0536,0.0527,0.062,0.0611,0.0006,0.5102,2000
0.5,PPB,0.0636,0.0969,0.7662,0.8514,0.0468,0.4923,2000
1.0,P2C,0.0547,0.0645,0.0631,0.0729,0.0006,0.9848,2000
1.0,PPB,0.069,0.099,0.7928,0.8929,0.0483,0.9806,2000
1.5,P2C,0.0555,0.0789,0.0639,0.0873,0.0006,1.4638,2000
1.5,PPB,0.0736,0.103,0.8179,0.941,0.0496,1.4475,2000
2.0,P2C,0.0565,0.0905,0.065,0.0989,0.0006,1.9618,2000
2.0,PPB,0.077,0.1067,0.8472,1.0029,0.0513,1.9796,2000
2.5,P2C,0.0582,0.0973,0.0666,0.1057,0.0006,2.5286,2000
2.5,PPB,0.0801,0.1124,0.8779,1.0582,0.0532,2.5171,2000
3.0,P2C,0.0603,0.1062,0.0687,0.1146,0.0006,2.8963,2000
3.0,PPB,0.0824,0.1206,0.8959,1.0653,0.0542,2.9802,2000
3.5,P2C,0.06,0.1037,0.0685,0.1122,0.0006,3.3922,2000
3.5,PPB,0.0846,0.1243,0.9363,1.1591,0.0568,3.4596,2000
